Total Return,CAGR,Ann Vol,Sharpe,Max Drawdown,Trades,Hit Rate,Avg Hold Days,Data Points,train_start,train_end,test_start,test_end,Regime
-0.022254126198590796,-0.022341790178920684,0.02935577353463154,-0.7550494799507909,-0.05982761281744131,0,,,251,2012-01-03,2014-01-02,2014-01-03,2015-01-02,trend
0.11725332267105104,0.11824475064637574,0.17840957815600564,0.7153370718644901,-0.12110957641463826,0,,,250,2013-01-03,2015-01-02,2015-01-03,2016-01-02,mean-revert
-0.06971046632504985,-0.06997824521755391,0.10352918251884004,-0.6491428935628583,-0.1451272015567091,0,,,251,2014-01-03,2016-01-02,2016-01-03,2017-01-02,trend
-0.02814133737931046,-0.02825185540735098,0.014583244594196042,-1.9577991464849032,-0.0369324939435931,0,,,251,2015-01-03,2017-01-02,2017-01-03,2018-01-02,trend
-0.047068893346359664,-0.0474363692897567,0.037688356037497005,-1.2705806703327167,-0.06741718862489265,0,,,250,2016-01-03,2018-01-02,2018-01-03,2019-01-02,trend
0.01413083217553912,0.01418752780571797,0.021008671048209103,0.681059173449193,-0.010645159257692494,0,,,251,2017-01-03,2019-01-02,2019-01-03,2020-01-02,mean-revert
1.2908753738267706,1.2984535557927308,1.1157651150114936,1.2979247507705485,-0.6645625772563095,0,,,251,2018-01-03,2020-01-02,2020-01-03,2021-01-02,trend
-0.03799855342918346,-0.03814701721620517,0.07748098018803577,-0.46335310275909625,-0.07495683856539992,0,,,251,2019-01-03,2021-01-02,2021-01-03,2022-01-02,trend
-0.024960572364081335,-0.025157723890104178,0.14828712469731575,-0.09786195679242439,-0.10533483245155695,0,,,250,2020-01-03,2022-01-02,2022-01-03,2023-01-02,trend
3.1351405422376164,3.1823675548663983,1.4199100060928382,1.710965361298503,-0.639977507103908,0,,,250,2021-01-03,2023-01-02,2023-01-03,2024-01-02,trend
