Total Return,CAGR,Ann Vol,Sharpe,Max Drawdown,Trades,Hit Rate,Avg Hold Days,Data Points,train_start,train_end,test_start,test_end,Regime
-0.041186481931104746,-0.04183668763545734,0.007031411413664461,-6.073999039435732,-0.04091419632264881,39,0.4112903225806452,9.205128205128204,248,2010-05-27,2012-05-26,2012-05-27,2013-05-26,trend
-0.030895483891602904,-0.031138759159266227,0.007687770804535065,-4.110742537302375,-0.03057318492954675,34,0.436,10.558823529411764,250,2011-05-27,2013-05-26,2013-05-27,2014-05-26,trend
-0.015481223019354617,-0.015542419386901929,0.013248218585741637,-1.1757505747692076,-0.016275563768204715,1,0.42231075697211157,363.0,251,2012-05-27,2014-05-26,2014-05-27,2015-05-26,mean-revert
-0.004915880971957831,-0.004896498260733573,0.019747521717640076,-0.2387258038560804,-0.021904636129197352,1,0.48221343873517786,364.0,253,2013-05-27,2015-05-26,2015-05-27,2016-05-26,mean-revert
-0.014817269960587076,-0.014875861636419851,0.012754372235220135,-1.1687090410997891,-0.03173389392263104,22,0.5099601593625498,16.363636363636363,251,2014-05-27,2016-05-26,2016-05-27,2017-05-26,trend
-0.043986299393586004,-0.04433027267895595,0.012185923311460383,-3.7145188699073803,-0.045034717450921025,36,0.436,9.972222222222221,250,2015-05-27,2017-05-26,2017-05-27,2018-05-26,trend
-0.012210343050707007,-0.012356542971699414,0.021061207011063784,-0.5798491543779416,-0.03791281636541255,28,0.5140562248995983,12.821428571428571,249,2016-05-27,2018-05-26,2018-05-27,2019-05-26,trend
-0.025933130880760213,-0.026035093361209016,0.009354038719157116,-2.8153656981623776,-0.026932913226231814,28,0.44223107569721115,12.964285714285714,251,2017-05-27,2019-05-26,2019-05-27,2020-05-26,trend
0.0,0.0,0.0,,0.0,0,,,252,2018-05-27,2020-05-26,2020-05-27,2021-05-26,neutral
-0.008773101935780736,-0.008773101935780736,0.010196326265510378,-0.8591207729914468,-0.013060163239762335,1,0.49603174603174605,363.0,252,2019-05-27,2021-05-26,2021-05-27,2022-05-26,mean-revert
-0.04490027289451992,-0.04525122296694306,0.01149010269176181,-4.024073493171647,-0.04405113825324769,37,0.428,9.72972972972973,250,2020-05-27,2022-05-26,2022-05-27,2023-05-26,trend
